Spanish;Portuguese
de;de
que;que
no;Não
a;para
la;o
el;ele
y;e
es;é
en;em
lo;isto
un;a
por;por
qué;que
me;EU
una;a
los;o
se;ELE
te;chá
con;com
para;para
está;Está
mi;meu
pero;mas
sí;Sim
si;Sim
bien;bom
eso;isso
su;dele
las;as
yo;EU
del;do
como;como
aquí;aqui
tu;você
al;para o
más;avançar
le;você
esto;esse
todo;todos
ya;já
estoy;Eu sou
ahora;agora
muy;muito
ha;ha
esta;Está
así;Então
vamos;vamos
algo;algo
hay;há
bueno;Bem
tengo;Eu tenho
él;ele
cuando;quando
estás;são
sé;ELE
tú;você
nos;nós
nada;nada
cómo;como
este;esse
o;qualquer
he;Ele
ser;ser
tiene;tem
puedo;Eu posso
ella;ela
quiero;quero
hacer;fazer
fue;era
gracias;obrigado
vez;tempo
era;era
soy;sou
sólo;apenas
todos;todos
porque;porque
son;são
tienes;ter
creo;acreditar
voy;ir
sabes;Você sabe
estaba;era
puede;pode
eres;são
ese;esse
usted;você
entonces;então
hola;olá
solo;apenas
verdad;verdadeiro
casa;lar
tan;então
quién;Quem
sus;deles
tiempo;tempo
dos;dois
esa;que
nunca;nunca
dónde;onde
va;vai
oh;Oh
favor;Favor
mucho;bastante
mí;meu
quieres;querer
siento;eu sinto
señor;Senhor
mejor;melhorar
hace;faz
has;você tem
decir;dizer
también;também
sobre;sobre
dios;Deus
sin;sem
tenemos;ter
están;estão
ti;você
puedes;pode
ver;ver
hombre;homem
vida;vida
alguien;alguém
cosas;coisas
siempre;sempre
hasta;até
ahí;lá
ir;ir
años;anos
antes;antes
estar;ser
ni;nenhum
poco;pedaço
día;dia
uno;um
noche;noite
hecho;feito
mis;meu
estamos;nós somos
otra;outro
acuerdo;acordo
trabajo;trabalho
nosotros;nós
parece;parece
gente;pessoas
sea;ser
padre;pai
mira;olhar
mismo;mesmo
dijo;disse
nadie;ninguém
quiere;quer
podría;poderia
hablar;falar
vas;você vai
ellos;eles
sr.;Senhor.
tal;tal
pasa;acontece
fuera;fora
después;depois
han;Eles têm
desde;de
dinero;dinheiro
mundo;mundo
claro;claro
momento;momento
les;eles
tener;ter
estado;estado
otro;outro
había;houve
mañana;Manhã
tenía;tive
madre;mãe
vale;OK
lugar;lugar
haciendo;fazendo
donde;onde
seguro;claro
sabe;sabe
podemos;pode
tus;seu
espera;espere
nuevo;novo
sido;estive
cosa;coisa
hijo;filho
allí;lá
menos;menos
tipo;cara
amigo;amigo
gran;ótimo
nuestro;nosso
mujer;mulheres
mamá;mãe
luego;então
papá;pai
días;dias
dice;diz
hoy;hoje
tres;três
buena;bom
necesito;precisar
dije;disse
oye;ei
gusta;gosta
quería;queria
será;ser
haber;haver
parte;papel
todas;todos
crees;Você acredita
buen;bom
conmigo;Comigo
nombre;nome
mierda;merda
nuestra;nosso
mal;mal
debe;tem que
realmente;realmente
estas;são
aún;ainda
mío;meu
toda;todos
hacerlo;faça isso
cada;cada
visto;visto
importa;Importa
contigo;com você
tienen;ter
hemos;Nós temos
razón;razão
alguna;alguns
tanto;muito
saber;saber
hizo;fez
veces;vezes
serio;Sério
ven;vir
idea;ideia
eh;Ei
tarde;tarde
problema;problema
hora;hora
cierto;verdadeiro
dicho;ditado
quien;Quem
demasiado;demais
amor;amor
entre;entre
ve;ir
pasado;passado
familia;família
estos;esses
policía;polícia
debería;deveria
ustedes;você
chica;garota
esos;aqueles
chicos;pessoal
cuenta;conta
haces;Você faz
todavía;ainda
salir;sair
algún;alguns
vaya;Oh
unos;alguns
veo;Eu vejo
amigos;amigos
hermano;irmão
pensé;Eu pensei
sabía;sabia
cabeza;cabeça
ah;Ah
cariño;querido
digo;dizer
van;ir
hombres;homens
buenas;Olá bom
somos;são
cualquier;qualquer
forma;forma
mientras;enquanto
lado;lado
debo;devo
sería;Eu gostaria
caso;caso
pueden;eles podem
pasó;passado
primera;primeiro
genial;brilhante
chico;garoto
supuesto;suposto
hice;Eu fiz
pues;bem
adiós;tchau
muchas;muitos
personas;pessoas
señora;senhora
volver;retornar
esas;aqueles
quizá;Talvez
contra;contra
camino;caminho
durante;durante
hablando;conversando
manera;Maneira
muerto;morto
persona;pessoa
rápido;rápido
cuál;qual
ayuda;ajuda
historia;história
iba;Eu estava indo
supongo;eu acho
nueva;novo
entiendo;Eu entendo
dentro;dentro
casi;quase
puerta;porta
ves;você vê
pasar;passar
primero;primeiro
significa;significa
semana;semana
hacia;na direção
quizás;talvez
espero;espere
juntos;junto
año;ano
niños;crianças
pronto;breve
tío;tio
suerte;sorte
ciudad;cidade
siquiera;até
feliz;feliz
venir;vir
hija;filha
gustaría;gostaria
minutos;minutos
cuánto;quanto
os;você
hey;Ei
muerte;morte
dejar;deixar
realidad;realidade
deja;folhas
problemas;problemas
vi;serra
da;dá
importante;importante
dijiste;disse
corazón;coração
miedo;temer
jefe;chefe
agua;água
haré;eu farei
justo;justo
horas;horas
poder;pode
buenos;bom
esposa;esposa
manos;mãos
debes;você deve
viene;vem
venga;venha
nuestros;nosso
ojos;olhos
adelante;avançar
encontrar;encontrar
mano;mão
cinco;cinco
niño;Menino
ninguna;nenhum
otros;outros
cara;caro
cuidado;cuidadoso
bajo;baixo
cerca;aproximar
viejo;velho
déjame;Deixe-me
noches;noites
bastante;bastante
fin;fim
tomar;pegar
único;apenas
misma;mesmo
escucha;ouvir
ningún;nenhum
suficiente;suficiente
punto;ver
cuándo;quando
sigue;prossiga
haya;é
equipo;equipamento
grande;grande
necesita;precisa
llegar;chegar
incluso;até
algunos;alguns
doctor;doutor
difícil;difícil
aunque;embora
hubiera;tive
primer;primeiro
coche;carro
hago;fazer
clase;aula
cuatro;quatro
mas;avançar
dices;Você diz
pequeño;pequeno
llama;chamadas
toma;pegar
hiciste;fez
allá;lá
última;durar
arriba;Acima
tierra;terra
guerra;guerra
pensar;pensar
pueda;Eu posso
igual;igual
loco;louco
sangre;sangue
mujeres;mulheres
vuelta;colo
fui;Eu era
trabajar;trabalhar
tenido;tive
juego;jogo
deberías;você deve
cuerpo;corpo
e;e
algunas;alguns
entrar;Entrem
cree;Acreditar
podía;poderia
debemos;deve
oportunidad;chance
teléfono;telefone
necesitamos;precisar
final;final
listo;preparar
fiesta;festa
muchos;muitos
estabas;estavas
quieren;Eles querem
vete;vá embora
auto;carro
dar;dar
vivir;ao vivo
posible;possível
ok;OK
hermana;irmã
número;número
meses;meses
exactamente;exatamente
culpa;culpa
abajo;abaixo
escuela;escola
ido;perdido
fuerte;forte
diciendo;ditado
habla;fala
esté;esse
ello;isto
pregunta;perguntar
chicas;garotas
eran;eram
unas;unhas
pasando;indo
atrás;voltar
malo;ruim
capitán;capitão
sra.;Sra
bebé;bebê
segundo;segundo
sabemos;nós sabemos
mayor;idoso
comida;refeição
morir;morrer
conozco;saber
dame;dê para mim
fácil;fácil
comer;comer
vino;veio
lista;lista
haga;fazer
necesitas;você precisa
hijos;crianças
probablemente;provavelmente
padres;pais
habitación;sala
creer;acreditar
pensando;pensamento
fueron;eram
dime;diga-me
trata;Trelas
buscando;procurando
tuve;Eu tive
tampoco;nenhum
amo;amor
joven;jovem
podrías;você poderia
sola;sozinho
par;par
única;apenas
hacen;fazer
seguir;continuar
dr.;Dr.
simplemente;simplesmente
dicen;Eles dizem
medio;metade
puta;cadela
saben;Eles sabem
sentido;senso
hagas;Você faz
segura;seguro
esperar;espere
lejos;distante
arma;arma
alto;alto
pequeña;pequeno
dólares;Dólares
seis;seis
estaban;eram
seguridad;segurança
maldita;condenado
estuvo;era
preocupes;preocupar
palabra;palavra
esperando;esperando
queda;é sobrou
oficina;escritório
matar;matar
iré;Eu vou
cama;cama
además;além do mais
último;durar
oído;orelha
habría;haveria
estará;vai ser
dio;deu
recuerdo;memória
siendo;ser
acerca;sobre
tenga;ter
luz;luz
correcto;correto
ud.;Você.
demonios;demônios
nuestras;nosso
verte;para te ver
dormir;dormir
sitio;lugar
ayudar;ajuda
conseguir;pegar
di;deu
marido;marido
paz;paz
idiota;idiota
plan;plano
dado;dado
cuanto;quanto
peor;pior
murió;morreu
pueblo;cidade
vivo;vivo
venido;Eu venho
john;John
basta;Suficiente
paso;passado
deberíamos;deveríamos
música;música
diga;Dizer
minuto;minuto
anoche;noite passada
llamar;chamar
piensa;pensar
país;País
digas;você diz
rey;rei
perdón;desculpe
mucha;bastante
falta;falta
pienso;Eu penso
diablos;Demonios
perdido;perdido
niña;garotinha
señorita;Perder
diez;dez
lleva;carregar
hospital;hospital
grandes;grande
maldito;condenado
otras;outros
llamado;chamado
hacemos;nós fazemos
llevar;carregar
fuego;fogo
aqui;aqui
tuvo;tive
poner;colocar
calle;rua
acaba;apenas
prueba;prova
increíble;incrível
real;real
libro;livro
orden;ordem
semanas;semanas
especial;especial
mía;meu
café;café
duro;duro
empezar;começar
afuera;fora
queremos;nós queremos
perro;cachorro
cielo;querido
jack;Jack
puesto;posição
viaje;jornada
detrás;atrás
cuarto;sala
querida;Querido
haría;faria
preguntas;questões
piensas;Você pensa
querido;querido
libre;livre
buscar;procurar
cual;qual
diré;eu vou dizer
suena;sons
jugar;jogar
cambio;mudar
película;filme
millones;milhões
habrá;haverá
llamada;chamar
resto;descansar
vemos;Nós vemos
extraño;estranho
mala;ruim
presidente;Presidente
srta.;EM.
irme;Ir
ropa;roupas
perder;perder
vuelve;volta
agente;agente
palabras;palavras
información;Informação
raro;queer
hará;vai fazer
entiendes;você entende
éste;esse
trabajando;trabalhando
tratando;tratamento
general;em geral
trato;negócio
usar;vestir
perfecto;perfeito
derecho;direito
modo;modo
ayer;ontem
conoces;você sabe
demás;o resto
quieras;Você quer
podríamos;poderíamos
noticias;notícias
asesino;assassino
encontrado;encontrado
control;ao controle
odio;odiar
frente;testa
sexo;sexo
decirle;Diga à ele
estaré;Eu vou ser
divertido;diversão
armas;armas
recuerdas;lembrar
amiga;amigo
grupo;conjunto
asunto;assunto
acabo;apenas
mensaje;mensagem
encima;sobre
atención;atenção
diferente;diferente
uh;UH
cállate;fique quieto
daño;dano
sucede;acontece
cambiar;mudar
siguiente;seguindo
sino;mas
the;O
seas;Você é
médico;doutor
boca;boca
dejó;deixar
error;erro
jamás;nunca
largo;longo
pena;pesar
voz;voz
futuro;futuro
siente;Sentir
secreto;segredo
baño;banheiro
mil;mil
decirte;dizer a você
sam;Sam
pensaba;pensamento
novia;noiva
propia;ter
sueño;sonhar
haz;feixe
fuerza;força
deben;Eles devem
supone;Supõe
estábamos;fomos
ambos;ambos
ay;Oh
estuve;Eu estive
encontré;eu encontrei
vuelto;virado
dolor;dor
dile;diga à ele
encanta;O amor é
edad;idade
darle;dê a ele
pie;pé
negro;preto
ganar;ganho
york;Iorque
aire;ar
lamento;lamento
verlo;vê-lo
asesinato;assassinato
vio;serra
adónde;para onde
llegado;chegado
disculpe;com licença
s;s
cita;encontro
estaría;Seria
fuiste;Você era
sistema;sistema
gusto;gosto
pobre;pobre
negocio;negócios
mente;mente
tuyo;seu
campo;campo
mire;Olhar
situación;situação
tras;depois
hotel;hotel
vosotros;você
funciona;funciona
foto;foto
abogado;advogado
loca;louco
propio;ter
alrededor;em volta
próxima;próximo
terminado;finalizado
hablas;falar
pagar;pagar
mató;morto
llamo;chamado
personal;funcionários
sientes;você sente
ocurre;ocorre
ésta;Está
recuerda;lembrar
mitad;metade
quiera;querer
pelo;cabelo
tenías;Você tinha
viste;vestidos
oficial;oficial
llegó;chegar
compañía;empresa
relación;relação
conoce;conhecido
pase;acontece
montón;muito
mejores;principal
creí;eu acreditei
cena;jantar
sentir;sentir
través;através
accidente;acidente
i;Yo
ellas;eles
caja;caixa
tranquilo;não se preocupe
bonito;bonito
eras;idades
asi;Então
pudo;poderia
vive;vidas
vista;visualizar
estúpido;idiota
línea;linha
caballeros;cavalheiros
haremos;vai
dan;dar
quédate;ficar
tienda;loja
comprar;comprar
entendido;entendido
centro;Centro
salvo;exceto
mes;mês
joe;Joe
sol;sol
tonto;bobagem
hambre;fome
michael;Michael
mesa;mesa
respuesta;responder
completamente;completamente
david;David
carta;carta
totalmente;completamente
imposible;impossível
pruebas;evidência
novio;namorado
normal;normal
gustan;como
frank;Frank
pude;poderia
charlie;Charlie
traje;terno
dirección;endereço
siete;Sete
dijeron;Eles disseram
placer;prazer
sean;Sean
tendrá;terá
barco;enviar
blanco;branco
tom;Tom
profesor;professor
servicio;serviço
muchacho;rapaz jovem
reunión;reunião
dejado;Deixado
ley;lei
quisiera;Eu gostaria
hubo;era
george;George
programa;programa
carrera;carreira
cumpleaños;aniversário
muchachos;Rapazes
culo;bunda
canción;canção
hermosa;lindo
universidad;universidade
boda;casamento
decirme;Diga-me
cualquiera;qualquer
tengas;Ter
hacía;na direção
estés;ser
sala;salão
llevo;ele levou
decisión;decisão
espere;espere
don;Vestir
necesario;necessário
sal;sal
entra;entra
prisa;pressa
carajo;Porra
embargo;embargo
interesante;interessante
tendrás;voce terá
escuchar;ouvir
abuela;avó
hicieron;eles fizeram
detective;detetive
horrible;horrível
suelo;chão
fotos;fotos
cárcel;cadeia
acá;aqui
io;Io
mike;Mike
siéntate;Sentar-se
decía;Ele disse
intentando;tentando
vámonos;vamos
maldición;xingamento
silencio;silêncio
muerta;morto
capaz;capaz
salió;Ele saiu
club;clube
terminar;terminar
temo;Eu temo
broma;piada
gobierno;governo
prometo;eu prometo
cámara;Câmera
media;metade
terrible;Terrível
llamó;chamado
regalo;presente
amable;amável
dulce;doce
muertos;morto
querías;Você queria
ataque;AVC
das;você dá
navidad;Natal
negocios;negócios
pudiera;poderia
ocho;oito
avión;avião
investigación;investigação
acabó;apenas
juro;Juro
mantener;manter
ejército;exército
papel;papel
partes;Festas
ten;Dez
gracioso;engraçado
diría;diria
principio;princípio
delante;em frente de
teniente;tenente
deseo;desejo
vayas;ir
nave;enviar
sale;sai
basura;lixo
vine;veio
contacto;contato
esposo;marido
tren;trem
encontramos;nós achamos
dale;Vá em frente
verdadero;verdadeiro
tuya;seu
alma;alma
hazlo;faça isso
disculpa;desculpe
junto;junto
anda;andar
tendré;eu terei
matrimonio;casado
saberlo;saber
locura;loucura
oro;ouro
permiso;permissão
director;diretor
peligro;perigo
libertad;liberdade
alegro;alegre
baja;baixo
tendremos;nós teremos
derecha;certo
encuentra;achados
pies;pés
segunda;segundo
maravilloso;maravilhoso
espacio;espaço
rato;momento
abuelo;avô
esperaba;eu esperava
mirando;olhando
salud;saúde
sorpresa;surpresa
ninguno;nenhum
miren;Olhar
triste;triste
aun;ainda
pensado;pensando
maestro;professor
según;de acordo com
infierno;inferno
podrían;poderia
tipos;pessoal
tía;tia
crimen;crime
conocido;conhecido
consejo;conselho
ante;tendo em vista
iglesia;igreja
